Account ID,Industry,Vertical, Total BRR ,# Buildings on Net,# Buildings not on Net
Acct-000292,Finance,Finance - Other,6593.12,9.0,55
Acct-000661,Professional Services,Consulting / Other Professional Services,57073.0,9.0,0
Acct-001407,Other Industry,Retail,14068.57,8.0,0
Acct-001626,Media & Content,Media,59841.0,8.0,0
Acct-000286,Telecommunications,Regional Carrier/ISP,16802.0,8.0,1
Acct-000329,Media & Content,Internet Content & Software,135524.0,8.0,0
Acct-001360,Healthcare,Healthcare - Other,7065.16,8.0,1
Acct-001155,Healthcare,Hospital/Clinic,56494.0,8.0,2
Acct-000067,Telecommunications,Regional Carrier/ISP,50816.0,8.0,2
Acct-001487,Telecommunications,National Carrier/ISP,78186.38,8.0,1
Acct-000584,Telecommunications,National Carrier/ISP,62025.0,8.0,3
Acct-001510,Other Industry,Retail,13246.02,8.0,0
Acct-000116,Telecommunications,RLEC,646154.0,8.0,0
Acct-002494,Professional Services,Legal,39897.16,8.0,0
Acct-001125,Professional Services,Commercial Systems Integrator,195361.0,8.0,53
Acct-000604,Finance,Finance - Other,26159.0,8.0,1
Acct-000070,Media & Content,Media,504108.0,8.0,0
Acct-001448,Telecommunications,National Carrier/ISP,34670.0,8.0,1
Acct-001206,Research & Education,Higher Education,3006.0,7.0,1
Acct-000469,Media & Content,Internet Content & Software,162707.0,7.0,0
Acct-000271,IT Infrastructure,Cloud Service Provider,408.0,7.0,3
Acct-000723,Transportation & Logistics,Airlines,48682.0,7.0,2
Acct-001458,Telecommunications,Regional Carrier/ISP,49938.0,7.0,0
Acct-002436,Other Industry,Hospitality,21737.0,7.0,36
Acct-000333,Finance,Finance - Other,518767.0,7.0,2
Acct-001299,Government,State/Local Government,22759.34,7.0,0
Acct-000101,Media & Content,Media,41174.0,7.0,0
Acct-001369,Healthcare,Hospital/Clinic,9956.0,7.0,90
Acct-000544,Finance,Finance - Other,289600.0,7.0,7
Acct-000126,Telecommunications,Reseller,98919.0,7.0,0
Acct-000523,Other Industry,Transportation,6984.0,7.0,25
Acct-001531,Telecommunications,RLEC,680.84,7.0,0
Acct-000745,Other Industry,Transportation,40357.0,7.0,111
Acct-000735,Energy & Manufacturing,Oil & Gas,45777.0,7.0,2
Acct-000442,IT Infrastructure,Colo/Hosting,11512.0,7.0,0
Acct-001275,Professional Services,Consulting / Other Professional Services,8316.0,7.0,0
Acct-000280,Media & Content,Media,40694.0,7.0,1
Acct-001488,Professional Services,Consulting / Other Professional Services,43282.0,7.0,0
Acct-001030,Telecommunications,National Carrier/ISP,70208.94,6.0,0
Acct-000377,Media & Content,Internet Content & Software,94478.0,6.0,16
Acct-000946,Energy & Manufacturing,Manufacturing - Other,21728.0,6.0,4
Acct-001260,Other Industry,Retail,267706.13,6.0,19
Acct-000433,Telecommunications,National Carrier/ISP,90972.0,6.0,0
Acct-001509,Media & Content,Media,77381.0,6.0,2
Acct-000183,Finance,Finance - Other,88182.0,6.0,1
Acct-001161,Telecommunications,Regional Carrier/ISP,56266.0,6.0,0
Acct-000479,Finance,Finance - Other,6576.0,6.0,0
Acct-000085,Government,Systems Integrators - Government,291202.0,6.0,0
Acct-000510,Telecommunications,VOIP/VSP,28020.0,6.0,0
Acct-000266,IT Infrastructure,Colo/Hosting,406450.18,6.0,0
Acct-001472,Other Industry,Telecommunications Equipment Provider,28477.0,6.0,0
Acct-001307,Government,State/Local Government,6280.0,6.0,0
Acct-001490,Finance,Finance - Other,57848.0,6.0,0
Acct-001276,Research & Education,Higher Education,16647.0,6.0,0
Acct-000328,Media & Content,Internet Content & Software,252506.56,6.0,0
Acct-000106,IT Infrastructure,Colo/Hosting,241918.0,6.0,0
Acct-000752,Energy & Manufacturing,Manufacturing - Other,4968.63,6.0,9
Acct-000511,Healthcare,Hospital/Clinic,111964.0,6.0,82
Acct-000246,IT Infrastructure,Cloud Service Provider,98448.0,6.0,1
Acct-001923,Professional Services,Consulting / Other Professional Services,53304.0,6.0,0
Acct-003131,Energy & Manufacturing,Utilities,66433.0,6.0,0
Acct-000949,IT Infrastructure,Cloud Service Provider,227329.0,6.0,11
Acct-001503,Professional Services,Consulting / Other Professional Services,24848.0,6.0,0
Acct-000278,IT Infrastructure,Cloud Service Provider,206714.0,6.0,0
Acct-000142,IT Infrastructure,Cloud Service Provider,508059.0,6.0,7
Acct-000415,Telecommunications,National Carrier/ISP,111746.0,6.0,0
Acct-001059,Other Industry,Real Estate / Construction,7745.0,6.0,7
Acct-000022,Finance,Finance - Other,724132.0,6.0,0
Acct-000346,Telecommunications,Reseller,118933.0,6.0,0
Acct-001218,IT Infrastructure,Colo/Hosting,73014.81,6.0,0
Acct-002255,IT Infrastructure,Cloud Service Provider,5096.0,5.0,0
Acct-001406,Professional Services,Legal,32308.0,5.0,0
Acct-000182,IT Infrastructure,Cloud Service Provider,29727.0,5.0,1
Acct-000404,Telecommunications,Regional Carrier/ISP,1128.46,5.0,0
Acct-002263,Healthcare,Pharmaceuticals / BioTech,62049.0,5.0,18
Acct-001390,Energy & Manufacturing,Manufacturing - Other,15755.34,5.0,0
Acct-000210,Professional Services,Consulting / Other Professional Services,16413.0,5.0,0
Acct-003151,Media & Content,Internet Content & Software,2366.46,5.0,0
Acct-001097,IT Infrastructure,Cloud Service Provider,31752.0,5.0,0
Acct-001701,Professional Services,Legal,66217.0,5.0,0
Acct-000560,Healthcare,Healthcare - Other,41209.0,5.0,9
Acct-001386,Government,Federal Government,32663.02,5.0,8
Acct-000672,IT Infrastructure,Cloud Service Provider,19568.0,5.0,0
Acct-001172,Research & Education,Higher Education,40082.0,5.0,0
Acct-000306,Professional Services,Consulting / Other Professional Services,21443.0,5.0,1
Acct-001538,IT Infrastructure,Cloud Service Provider,43520.0,5.0,0
Acct-003144,Healthcare,Hospital/Clinic,44625.22,5.0,85
Acct-000545,Telecommunications,National Carrier/ISP,3389.0,5.0,0
Acct-000291,Finance,Finance - Other,36879.0,5.0,0
Acct-000467,Healthcare,Healthcare - Other,2883.0,5.0,1
Acct-000593,Professional Services,Consulting / Other Professional Services,19255.4,5.0,1
Acct-000345,Telecommunications,Reseller,32965.0,5.0,0
Acct-000876,Research & Education,Higher Education,3936.59,5.0,0
Acct-001554,Other Industry,Transportation,2777.26,5.0,0
Acct-000830,Telecommunications,Regional Carrier/ISP,3946.0,5.0,0
Acct-000321,Telecommunications,RLEC,54544.0,5.0,0
Acct-000820,Healthcare,Hospital/Clinic,55924.0,5.0,23
Acct-000077,,,4894.0,5.0,0
Acct-000293,Media & Content,Internet Content & Software,57524.0,5.0,1
Acct-001534,Telecommunications,Wireless,1904.4,5.0,0
Acct-000166,IT Infrastructure,Colo/Hosting,30386.0,5.0,0
Acct-000933,Media & Content,Internet Content & Software,70927.0,5.0,4
Acct-000674,Telecommunications,National Carrier/ISP,10974.0,5.0,0
Acct-000161,Media & Content,Cable & Satellite,173323.0,5.0,0
Acct-000364,Media & Content,Internet Content & Software,162567.0,5.0,3
Acct-001272,IT Infrastructure,Cloud Service Provider,13988.0,5.0,12
Acct-000675,Energy & Manufacturing,Oil & Gas,8331.0,5.0,0
Acct-000141,IT Infrastructure,Cloud Service Provider,149155.0,5.0,4
Acct-001706,Finance,Finance - Other,8318.0,5.0,0
Acct-000488,Telecommunications,National Carrier/ISP,145210.0,5.0,1
Acct-001517,Media & Content,Internet Content & Software,6529.0,5.0,0
Acct-000916,Media & Content,Internet Content & Software,88506.0,5.0,0
Acct-000319,IT Infrastructure,Cloud Service Provider,91782.0,5.0,0
Acct-001633,Media & Content,Internet Content & Software,212250.0,5.0,0
Acct-000439,Media & Content,Cable & Satellite,141045.0,5.0,0
Acct-002482,Other Industry,Retail,8145.0,5.0,1
Acct-000314,Media & Content,Media,138723.0,5.0,4
Acct-000231,Telecommunications,Regional Carrier/ISP,138322.0,5.0,0
Acct-000320,Finance,Finance - Other,130709.0,5.0,0
Acct-000185,Finance,Finance - Other,7756.0,5.0,2
Acct-001628,Professional Services,Consulting / Other Professional Services,11522.01,5.0,0
Acct-001098,IT Infrastructure,Colo/Hosting,7170.04,5.0,0
Acct-001436,Telecommunications,Regional Carrier/ISP,12459.0,5.0,0
Acct-002433,Other Industry,Real Estate / Construction,6126.0,5.0,0
Acct-000901,Professional Services,Consulting / Other Professional Services,7176.0,5.0,0
Acct-001527,Professional Services,Commercial Systems Integrator,9176.0,5.0,0
Acct-000480,Finance,Finance - Other,326673.0,5.0,1
Acct-000737,Professional Services,Legal,73332.0,5.0,0
Acct-000385,Telecommunications,Regional Carrier/ISP,9348.34,5.0,4
Acct-001019,Finance,Finance - Other,508424.0,5.0,7
Acct-001077,Finance,Finance - Other,9369.14,4.0,1
Acct-000432,Telecommunications,Wireless,32566.0,4.0,0
Acct-000599,Media & Content,Internet Content & Software,42957.0,4.0,0
Acct-000021,IT Infrastructure,Cloud Service Provider,32400.0,4.0,1
Acct-002507,Finance,Finance - Other,21461.0,4.0,0
Acct-000890,Professional Services,Consulting / Other Professional Services,11350.15,4.0,0
Acct-001645,Manufacturing,Telecommunications Equipment Provider,11401.0,4.0,0
Acct-000903,Professional Services,Legal,45437.0,4.0,0
Acct-000368,Healthcare,Healthcare,8777.0,4.0,0
Acct-000324,Telecommunications,Regional Carrier/ISP,28480.0,4.0,0
Acct-000802,Professional Services,Consulting / Other Professional Services,7537.0,4.0,0
Acct-000615,Telecommunications,PTT,46985.0,4.0,1
Acct-001455,Telecommunications,Regional Carrier/ISP,3612.3,4.0,0
Acct-001257,Professional Services,Consulting / Other Professional Services,3667.7,4.0,0
Acct-001634,Telecommunications,VOIP/VSP,7299.0,4.0,0
Acct-000290,Government,State/Local Government,3790.0,4.0,6
Acct-000262,Other Industry,Real Estate / Construction,765.0,4.0,3
Acct-001186,Finance,Finance - Other,31498.0,4.0,0
Acct-001547,IT Infrastructure,Colo/Hosting,31163.0,4.0,0
Acct-000121,IT Infrastructure,Colo/Hosting,11716.0,4.0,0
Acct-003500,Research & Education,K-12 Education,9176.0,4.0,46
Acct-001302,Telecommunications,National Carrier/ISP,8926.75,4.0,0
Acct-003109,Other Industry,Real Estate / Construction,1432.0,4.0,0
Acct-001709,Media & Content,Media,8729.0,4.0,0
Acct-001505,Telecommunications,Regional Carrier/ISP,8690.0,4.0,0
Acct-001023,Media & Content,Media,23743.0,4.0,0
Acct-001498,Other Industry,Retail,1835.1,4.0,0
Acct-003152,Finance,Finance - Other,36352.35,4.0,0
Acct-000232,Other Industry,Retail,2673.85,4.0,0
Acct-001542,Other Industry,Hospitality,36482.0,4.0,0
Acct-000317,Telecommunications,National Carrier/ISP,169255.0,4.0,0
Acct-002416,Other Industry,Retail,10512.0,4.0,1
Acct-001367,Professional Services,Legal,25695.0,4.0,9
Acct-000118,Telecommunications,Regional Carrier/ISP,143377.09,4.0,0
Acct-001904,Telecommunications,Wireless,261565.0,4.0,0
Acct-000533,Telecommunications,Reseller,22482.0,4.0,0
Acct-001541,Energy & Manufacturing,Manufacturing - Other,9094.0,4.0,0
Acct-002475,Healthcare,Healthcare - Other,3222.4,4.0,0
Acct-001020,Healthcare,Health Insurance,26252.13,4.0,5
Acct-000153,Telecommunications,Regional Carrier/ISP,27152.0,4.0,0
Acct-001830,Finance,Asset Management / Hedge Fund,3256.0,4.0,0
Acct-000272,IT Infrastructure,Colo/Hosting,2014.0,4.0,0
Acct-000487,Media & Content,AdTech,270546.0,4.0,1
Acct-001413,Professional Services,Consulting / Other Professional Services,8480.0,4.0,0
Acct-001708,Professional Services,Consulting / Other Professional Services,1541.0,4.0,0
Acct-001540,Other Industry,Non-Healthcare Insurance,19533.0,4.0,0
Acct-003075,Energy & Manufacturing,Utilities,16152.0,4.0,0
Acct-000740,Telecommunications,National Carrier/ISP,17232.31,4.0,0
Acct-001064,Healthcare,Pharmaceuticals / BioTech,6411.0,4.0,0
Acct-000971,Professional Services,Consulting / Other Professional Services,6321.0,4.0,0
Acct-000575,Media & Content,Internet Content & Software,6289.0,4.0,2
Acct-000754,Media & Content,Media,57804.0,4.0,0
Acct-000135,Telecommunications,VOIP/VSP,14073.0,4.0,0
Acct-000827,Finance,Finance - Other,7118.0,4.0,0
Acct-000825,Media & Content,Cable & Satellite,59131.0,4.0,0
Acct-000131,Media & Content,Internet Content & Software,77573.0,4.0,0
Acct-003083,Other Industry,Telecommunications Equipment Provider,1060.0,4.0,34
Acct-000180,Energy & Manufacturing,Manufacturing - Other,5097.0,4.0,1
Acct-000920,Professional Services,Legal,14465.0,4.0,0
Acct-001536,IT Infrastructure,Colo/Hosting,1070.48,4.0,0
Acct-000220,Finance,Finance - Other,4605.0,4.0,0
Acct-000583,Media & Content,Internet Content & Software,30411.0,4.0,0
Acct-000864,Telecommunications,National Carrier/ISP,5148.0,4.0,3
Acct-000557,Professional Services,Consulting / Other Professional Services,72858.0,4.0,7
Acct-000287,IT Infrastructure,Cloud Service Provider,15624.0,4.0,0
Acct-001639,Healthcare,Healthcare,5424.0,4.0,0
Acct-001076,IT Infrastructure,Cloud Service Provider,72370.0,4.0,2
Acct-000860,Media & Content,Internet Content & Software,6094.0,4.0,0
Acct-000354,Media & Content,Media,67652.0,4.0,3
Acct-000990,Healthcare,Healthcare,5632.76,4.0,0
Acct-001388,Energy & Manufacturing,Utilities,15252.0,4.0,0
Acct-000909,Media & Content,Internet Content & Software,68867.0,4.0,0
Acct-001788,Professional Services,Consulting / Other Professional Services,15061.0,4.0,0
Acct-000181,,,13236.4,4.0,0
Acct-000807,Professional Services,Consulting / Other Professional Services,16692.0,4.0,0
Acct-000643,Telecommunications,National Carrier/ISP,73046.0,4.0,5
Acct-001644,Telecommunications,Regional Carrier/ISP,1331.26,4.0,0
Acct-001823,Finance,Finance - Other,6914.0,4.0,0
Acct-001117,Telecommunications,National Carrier/ISP,101855.0,4.0,0
Acct-002262,Media & Content,Media,53237.0,4.0,4
Acct-002489,Research & Education,K-12 Education,6800.0,4.0,5
Acct-000513,Media & Content,Internet Content & Software,53569.65,4.0,0
Acct-000517,Professional Services,Consulting / Other Professional Services,18792.19,4.0,1
Acct-000570,IT Infrastructure,Colo/Hosting,19166.0,4.0,0
Acct-001704,Telecommunications,Reseller,6959.0,4.0,0
Acct-000525,Research & Education,Higher Education,13202.24,4.0,0
Acct-001454,IT Infrastructure,Colo/Hosting,52129.21,4.0,0
Acct-000168,Media & Content,Internet Content & Software,3670.52,3.0,0
Acct-003307,Research & Education,K-12 Education,9176.0,3.0,36
Acct-003126,Media & Content,Internet Content & Software,3742.0,3.0,0
Acct-000108,Media & Content,Internet Content & Software,15423.0,3.0,1
Acct-001533,Telecommunications,Regional Carrier/ISP,27167.0,3.0,0
Acct-001952,IT Infrastructure,Cloud Service Provider,28083.0,3.0,0
Acct-000684,Media & Content,Internet Content & Software,20303.0,3.0,0
Acct-001934,Research & Education,Higher Education,5535.9,3.0,1
Acct-000250,Telecommunications,Reseller,5501.31,3.0,0
Acct-001415,Media & Content,Internet Content & Software,20593.92,3.0,1
Acct-001506,Energy & Manufacturing,Manufacturing - Other,10246.0,3.0,0
Acct-001920,Professional Services,Consulting / Other Professional Services,14601.5,3.0,0
Acct-001303,Media & Content,Internet Content & Software,28690.0,3.0,0
Acct-000460,Professional Services,Engineering,6092.0,3.0,0
Acct-000030,Professional Services,Consulting / Other Professional Services,5594.0,3.0,0
Acct-002266,Media & Content,Internet Content & Software,9182.0,3.0,2
Acct-001100,Professional Services,Consulting / Other Professional Services,9277.0,3.0,0
Acct-001144,IT Infrastructure,Colo/Hosting,28884.0,3.0,0
Acct-000408,Professional Services,Commercial Systems Integrator,12735.76,3.0,0
Acct-001281,Media & Content,Media,3770.22,3.0,0
Acct-000991,Media & Content,Internet Content & Software,28995.0,3.0,0
Acct-001373,Media & Content,Internet Content & Software,9478.0,3.0,2
Acct-002530,Other Industry,Hospitality,2286.0,3.0,184
Acct-001330,Research & Education,K-12 Education,5775.48,3.0,0
Acct-001766,Research & Education,Higher Education,3800.0,3.0,0
Acct-001892,Healthcare,Healthcare - Other,9634.29,3.0,0
Acct-000028,IT Infrastructure,Colo/Hosting,10000.0,3.0,0
Acct-002437,Other Industry,Hospitality,2266.0,3.0,8
Acct-000738,Media & Content,Gaming/eSports,7533.0,3.0,0
Acct-000899,Media & Content,Media,21569.0,3.0,0
Acct-001395,Media & Content,AdTech,15982.0,3.0,1
Acct-000040,Telecommunications,Wireless,3968.0,3.0,0
Acct-001614,Energy & Manufacturing,Manufacturing - Other,22141.0,3.0,1
Acct-000313,Telecommunications,Reseller,4781.46,3.0,0
Acct-000504,Telecommunications,PTT,10992.0,3.0,0
Acct-003316,Finance,Finance - Other,4813.28,3.0,0
Acct-000816,Finance,Finance - Other,6627.0,3.0,1
Acct-001017,IT Infrastructure,Cloud Service Provider,6473.0,3.0,0
Acct-001046,Finance,Finance - Other,22309.0,3.0,0
Acct-001050,Healthcare,Pharmaceuticals / BioTech,17276.0,3.0,0
Acct-001418,Other Industry,Real Estate / Construction,6729.73,3.0,0
Acct-000363,Other Industry,Non-Profit,3217.15,3.0,0
Acct-003146,Telecommunications,Wireless,21413.0,3.0,0
Acct-000248,Media & Content,Cable & Satellite,3084.08,3.0,0
Acct-002499,Finance,Finance - Other,23075.0,3.0,0
Acct-001399,Professional Services,Consulting / Other Professional Services,14120.1,3.0,0
Acct-002490,Research & Education,Higher Education,23326.0,3.0,1
Acct-000342,Media & Content,Internet Content & Software,3313.38,3.0,0
Acct-001939,Finance,Finance - Other,23335.0,3.0,2
Acct-001631,Research & Education,K-12 Education,6219.0,3.0,17
Acct-001295,Research & Education,K-12 Education,3000.0,3.0,21
Acct-000268,IT Infrastructure,Colo/Hosting,4996.0,3.0,0
Acct-001504,Other Industry,Retail,3331.0,3.0,0
Acct-003173,Other Industry,Hospitality,24287.0,3.0,0
Acct-001782,Professional Services,Consulting / Other Professional Services,14386.0,3.0,1
Acct-001620,Telecommunications,Regional Carrier/ISP,2778.0,3.0,1
Acct-000975,Energy & Manufacturing,Oil & Gas,4054.2,3.0,1
Acct-000567,Telecommunications,Regional Carrier/ISP,25004.0,3.0,0
Acct-000048,IT Infrastructure,Colo/Hosting,6042.0,3.0,0
Acct-000528,Other Industry,Accelerator,8094.0,3.0,1
Acct-001695,Professional Services,Legal,8972.38,3.0,0
Acct-000758,IT Infrastructure,Cloud Service Provider,6984.0,3.0,0
Acct-002478,Energy & Manufacturing,Manufacturing - Other,1988.03,3.0,0
Acct-000633,Energy & Manufacturing,Oil & Gas,9980.0,3.0,0
Acct-000099,Healthcare,Healthcare - Other,35914.0,3.0,0
Acct-000275,IT Infrastructure,Colo/Hosting,48540.52,3.0,0
Acct-000057,Telecommunications,National Carrier/ISP,86526.0,3.0,2
Acct-000139,IT Infrastructure,Cloud Service Provider,93000.0,3.0,0
Acct-000831,Media & Content,Internet Content & Software,95625.0,3.0,0
Acct-001029,Media & Content,Internet Content & Software,96505.0,3.0,0
Acct-001027,Finance,Finance - Other,47642.0,3.0,1
Acct-002451,Energy & Manufacturing,Oil & Gas,47106.0,3.0,2
Acct-001122,Media & Content,Cable & Satellite,100245.0,3.0,0
Acct-000989,Telecommunications,National Carrier/ISP,104909.53,3.0,0
Acct-000449,Media & Content,Internet Content & Software,1616.0,3.0,0
Acct-001127,Other Industry,Non-Profit,1619.0,3.0,0
Acct-001190,Finance,Finance - Other,1677.0,3.0,0
Acct-002273,Professional Services,Consulting / Other Professional Services,1682.18,3.0,0
Acct-001702,IT Infrastructure,Colo/Hosting,40256.0,3.0,0
Acct-001913,Telecommunications,National Carrier/ISP,109404.14,3.0,0
Acct-002532,Government,State/Local Government,760.0,3.0,0
Acct-001137,Media & Content,Cable & Satellite,40240.0,3.0,0
Acct-001731,IT Infrastructure,Colo/Hosting,39983.0,3.0,0
Acct-001917,Media & Content,Internet Content & Software,37886.0,3.0,0
Acct-000358,Professional Services,Legal,740.16,3.0,0
Acct-000629,Healthcare,Healthcare,36191.56,3.0,0
Acct-002070,Healthcare,Healthcare - Other,48578.4,3.0,22
Acct-001045,Finance,Finance - Other,1418.0,3.0,0
Acct-000536,Professional Services,Commercial Systems Integrator,84316.0,3.0,2
Acct-002254,Professional Services,Consulting / Other Professional Services,2187.0,3.0,5
Acct-002376,Energy & Manufacturing,Manufacturing - Other,1122.0,3.0,0
Acct-001207,Media & Content,Internet Content & Software,64197.0,3.0,0
Acct-000459,Media & Content,Media,60953.0,3.0,0
Acct-001949,Finance,Finance - Other,1099.02,3.0,0
Acct-001421,Government,Systems Integrators - Government,68074.0,3.0,24
Acct-000305,Media & Content,Internet Content & Software,59893.0,3.0,0
Acct-002546,Government,Federal Government,1085.0,3.0,7
Acct-001004,Other Industry,Non-Healthcare Insurance,1200.0,3.0,0
Acct-000535,Finance,Finance - Other,68941.0,3.0,0
Acct-000243,Telecommunications,RLEC,69240.0,3.0,0
Acct-000172,Other Industry,Retail,1389.0,3.0,0
Acct-001251,Professional Services,Consulting / Other Professional Services,1318.22,3.0,0
Acct-001954,Media & Content,Internet Content & Software,72260.0,3.0,0
Acct-001785,Research & Education,Higher Education,1070.48,3.0,0
Acct-001500,Healthcare,Pharmaceuticals / BioTech,1045.0,3.0,0
Acct-001903,IT Infrastructure,Cloud Service Provider,80139.0,3.0,0
Acct-001393,Professional Services,Consulting / Other Professional Services,992.48,3.0,0
Acct-000200,IT Infrastructure,Colo/Hosting,82809.0,3.0,1
Acct-001718,Research & Education,Higher Education,51868.3,3.0,0
